"assists","boosts","damage_dealt","headshot_kills","heals","kill_place","kill_points","kills","kill_streaks","longest_kill","match_duration","match_type","max_place","rank_points","ride_distance","road_kills","swim_distance","team_kills","vehicle_destroys","walk_distance","weapons_acquired","win_points","win_place_perc","total_distance","weapon_bins","player_type"
1,7,838,3,10,1,0,7,3,60.98,1886,"squad-fpp",27,1444,433.5,0,0,0,0,2388,7,0,65.38,2821.5,"6-10","Pro"
1,0,215,0,0,19,0,2,1,33.63,1914,"squad-fpp",29,1466,1248,0,0,0,0,1669,4,0,57.14,2917,"3-5","Pro"
1,2,396,0,2,3,0,4,1,76.93,1368,"squad-fpp",27,1474,0,0,0,0,0,2111,4,0,100,2111,"3-5","Pro"
0,1,122,0,5,67,1077,0,0,0,1803,"squad-fpp",28,-1,0,0,0,0,0,411.2,6,1406,29.63,411.2,"6-10","Average"
0,1,374.1,0,6,7,1345,3,1,27.92,1130,"squad-fpp",30,-1,0,0,0,0,0,2481,5,1548,75.86,2481,"3-5","Pro"
0,0,0,0,0,80,0,0,0,0,1756,"solo-fpp",94,1497,0,0,0,0,0,32.24,2,0,16.13,32.24,"0-2","Noob"
0,3,238.6,0,3,23,1025,1,1,131.6,1697,"squad-fpp",28,-1,6044,0,0,0,0,1675,4,1507,81.48,7719,"3-5","Pro"
1,0,292.7,0,1,27,0,1,1,25.83,1468,"duo-fpp",48,1465,0,0,0,0,0,1338,6,0,74.47,1338,"6-10","Pro"
2,2,246.2,0,1,38,1541,1,1,26.47,1409,"squad",27,-1,0,0,0,0,0,204.5,2,1529,26.92,204.5,"0-2","Pro"
0,1,19.35,0,11,36,0,0,0,0,1985,"duo",48,1398,5199,0,257.4,0,0,3313,11,0,95.74,8769.4,"11-20","Noob"
0,0,75.67,0,1,66,0,0,0,0,1876,"duo",47,1497,0,0,0,0,0,1033,3,0,32.61,1033,"3-5","Noob"
1,2,106.6,1,3,32,1346,1,1,129.3,1864,"squad-fpp",31,-1,8419,0,0,0,0,1512,4,1524,63.33,9931,"3-5","Average"
1,0,60.2,0,1,67,1186,0,0,0,1343,"squad-fpp",27,-1,0,0,0,0,0,498.6,1,1474,42.31,498.6,"0-2","Noob"
0,0,0,0,0,80,993,0,0,0,1397,"solo",97,-1,0,0,0,0,0,86.86,1,1493,21.88,86.86,"0-2","Noob"
0,0,78.27,0,0,58,0,0,0,0,1398,"duo-fpp",45,1503,0,0,0,0,0,170.7,2,0,40.91,170.7,"0-2","Noob"
0,0,69.9,0,0,38,1000,1,1,36.56,1410,"duo-fpp",47,-1,0,0,0,0,0,201,5,1500,41.3,201,"3-5","Noob"
0,1,646.6,5,2,3,1623,7,3,31.96,1394,"squad-fpp",27,-1,0,0,0,0,0,1626,1,1647,65.38,1626,"0-2","Pro"
0,0,75,0,2,32,0,1,1,13.14,1436,"squad-fpp",31,1505,0,0,0,0,0,1003,6,0,40,1003,"6-10","Noob"
1,0,48.97,0,1,30,1000,1,1,37.27,1336,"squad-fpp",28,-1,0,0,0,0,0,2857,5,1500,96.3,2857,"3-5","Noob"
0,0,0,0,0,86,1386,0,0,0,1307,"squad-fpp",28,-1,0,0,0,0,0,0,0,1488,0,0,"0-2","Noob"
1,0,0,0,0,63,1315,0,0,0,1412,"squad-fpp",30,-1,0,0,0,0,0,672.2,6,1471,55.17,672.2,"6-10","Noob"
0,0,22.05,0,0,80,0,0,0,0,1442,"squad-fpp",26,1350,0,0,0,0,0,105,2,0,12,105,"0-2","Noob"
1,0,23.4,0,0,70,1260,0,0,0,1316,"squad-fpp",29,-1,0,0,0,0,0,657,3,1452,39.29,657,"3-5","Noob"
1,9,282.7,1,4,8,0,3,2,32.94,1511,"squad",29,1427,0,0,0,0,0,3066,3,0,92.86,3066,"3-5","Pro"
0,0,0,0,0,95,1300,0,0,0,1316,"solo-fpp",96,-1,0,0,0,0,0,10.63,2,1452,1.05,10.63,"0-2","Noob"
0,3,422.6,1,1,23,0,2,2,36.6,1864,"squad-fpp",29,1392,350.7,0,0,0,0,1050,7,0,28.57,1400.7,"6-10","Pro"
0,0,96.75,0,0,70,0,0,0,0,1382,"solo-fpp",94,1500,0,0,0,0,0,206.2,2,0,33.33,206.2,"0-2","Average"
0,9,1030,3,8,1,0,9,1,139.3,1901,"solo-fpp",100,1770,1031,0,66.42,0,0,3562,6,0,94.95,4659.42,"6-10","Pro"
0,1,0,0,0,77,1197,0,0,0,1991,"solo-fpp",92,-1,0,0,0,0,0,334.3,1,1488,19.78,334.3,"0-2","Noob"
0,0,94.98,0,0,42,0,1,1,10.23,1315,"squad-fpp",26,1482,0,0,0,0,0,34.84,1,0,0,34.84,"0-2","Average"
0,2,71.38,0,2,47,0,0,0,0,1466,"squad",27,1445,0,0,62.38,0,0,3372,2,0,84.62,3434.38,"0-2","Noob"
0,0,0,0,0,83,1185,0,0,0,1854,"squad-fpp",28,-1,0,0,0,0,0,301.1,3,1516,18.52,301.1,"3-5","Noob"
0,0,0,0,0,87,0,0,0,0,1446,"solo",95,1485,0,0,0,0,0,56.11,0,0,7.45,56.11,"0-2","Noob"
1,1,266.6,0,1,33,0,1,1,9.913,1387,"squad",29,1549,0,0,0,0,0,541.2,2,0,39.29,541.2,"0-2","Pro"
0,1,11.53,0,1,62,0,0,0,0,1778,"squad-fpp",25,1500,5399,0,0,0,0,1488,5,0,33.33,6887,"3-5","Noob"
0,3,423.3,0,5,5,0,4,1,129,1971,"duo",47,1500,6893,0,107.8,0,0,2617,8,0,95.65,9617.8,"6-10","Pro"
0,0,142.6,0,0,8,0,0,0,0,1808,"solo",18,1500,0,0,0,0,0,0,6,0,0,0,"6-10","Average"
0,2,103.8,1,6,13,0,2,1,105,1408,"squad",27,1407,0,0,0,0,0,3041,5,0,92.31,3041,"3-5","Average"
0,0,100,0,0,38,0,1,1,19.32,1833,"squad-fpp",28,1415,0,0,0,1,0,254.7,3,0,33.33,254.7,"3-5","Average"
0,1,18.47,0,1,59,1045,0,0,0,1917,"squad-fpp",30,-1,3750,0,0,0,0,3660,4,1509,62.07,7410,"3-5","Noob"
0,5,0,0,11,48,0,0,0,0,1968,"squad",26,1449,1631,0,0,0,0,3114,5,0,72,4745,"3-5","Noob"
0,0,288.8,0,0,27,0,1,1,2.627,1380,"squad-fpp",28,1500,0,0,0,0,0,2805,3,0,74.07,2805,"3-5","Pro"
0,0,241.3,0,2,11,1365,3,2,5.038,1846,"duo-fpp",45,-1,0,0,0,0,0,172.9,4,1504,38.64,172.9,"3-5","Pro"
0,2,50,0,0,56,1167,0,0,0,1846,"solo-fpp",98,-1,0,0,0,0,0,514.7,6,1549,62.89,514.7,"6-10","Noob"
0,2,168.3,0,0,75,0,0,0,0,1515,"duo",49,1487,0,0,0,0,0,106.6,1,0,25,106.6,"0-2","Average"
0,3,546.7,3,0,4,0,5,2,23.99,1827,"squad-fpp",28,1512,1182,0,19.77,0,0,4765,7,0,96.3,5966.77,"6-10","Pro"
1,1,26.05,0,6,43,0,0,0,0,1945,"duo-fpp",48,1489,2039,0,0,0,0,2179,4,0,76.6,4218,"3-5","Noob"
0,0,24.48,0,0,76,1182,0,0,0,1825,"squad",26,-1,0,0,0,0,0,125.1,4,1563,16,125.1,"3-5","Noob"
0,0,0,0,0,73,0,0,0,0,1408,"duo-fpp",46,1444,0,0,0,0,0,105.8,2,0,20,105.8,"0-2","Noob"
1,4,436.5,0,2,12,1000,2,1,14.33,1887,"squad",27,-1,528,0,40.37,0,0,5426,7,1500,92.31,5994.37,"6-10","Pro"
2,7,707.3,0,3,4,0,4,1,100.9,1811,"duo-fpp",47,1575,2987,1,0,0,0,4014,10,0,97.83,7001,"6-10","Pro"
0,0,330,0,0,6,0,3,1,49.78,1365,"duo-fpp",48,1759,0,0,0,0,0,4017,4,0,100,4017,"3-5","Pro"
4,3,252.7,0,3,14,0,2,1,66.91,1394,"squad-fpp",27,1485,0,0,0,0,0,2662,7,0,92.31,2662,"6-10","Pro"
0,3,88,0,1,29,0,1,1,10.81,2019,"squad",28,1485,4793,0,0,0,0,1362,8,0,59.26,6155,"6-10","Average"
0,0,0,0,0,85,1000,0,0,0,1859,"duo-fpp",49,-1,0,0,0,0,0,61.28,2,1500,18.75,61.28,"0-2","Noob"
0,0,170.2,0,1,72,1342,0,0,0,1415,"squad",29,-1,0,0,0,0,0,229.3,2,1513,17.86,229.3,"0-2","Average"
1,0,240.8,1,0,21,0,2,1,20.07,1866,"duo-fpp",48,1444,0,0,0,0,0,171.5,5,0,29.79,171.5,"3-5","Pro"
0,0,119.8,0,0,83,1283,0,0,0,1399,"squad-fpp",30,-1,0,0,0,0,0,113,1,1521,10.34,113,"0-2","Average"
0,0,100,0,0,26,0,1,1,5.64,1379,"duo-fpp",47,1515,0,0,0,1,0,332.5,2,0,45.65,332.5,"0-2","Average"
2,6,510.2,0,3,10,1267,2,1,30.59,1454,"squad",25,-1,0,0,89.1,0,1,3264,3,1512,100,3353.1,"3-5","Pro"
0,0,182.9,0,0,59,1000,0,0,0,1319,"squad-fpp",27,-1,0,0,0,0,0,778,4,1500,50,778,"3-5","Average"
0,1,159.9,0,1,38,0,1,1,5.173,1842,"solo",99,1517,2813,1,0,0,0,625,3,0,42.86,3438,"3-5","Average"
0,4,530.6,2,4,2,0,5,2,119,1404,"duo-fpp",49,1561,0,0,0,0,0,3193,3,0,100,3193,"3-5","Pro"
0,1,0,0,4,60,0,0,0,0,1463,"duo-fpp",48,1490,1228,0,0,1,0,770,4,0,48.94,1998,"3-5","Noob"
0,0,43,0,0,65,0,0,0,0,1409,"squad-fpp",30,1480,0,0,0,0,0,6.741,1,0,44.83,6.741,"0-2","Noob"
0,2,0,0,5,57,0,0,0,0,1885,"squad-fpp",28,1478,5650,0,0,0,0,1365,5,0,59.26,7015,"3-5","Noob"
0,0,98.44,0,0,55,0,0,0,0,1824,"duo-fpp",48,1494,0,0,9.024,0,0,695.9,7,0,46.81,704.924,"6-10","Average"
1,0,0,0,0,67,0,0,0,0,1407,"duo-fpp",49,1502,0,0,0,0,0,178.9,2,0,39.58,178.9,"0-2","Noob"
0,3,36.01,0,4,29,996,1,1,14.06,1751,"duo-fpp",46,-1,2549,0,0,0,0,3657,6,1478,82.22,6206,"6-10","Noob"
0,4,272.7,1,2,24,1127,1,1,0.8835,1846,"squad",28,-1,4152,0,0,0,1,1379,9,1572,85.19,5531,"6-10","Pro"
0,2,310.8,0,7,7,0,4,2,39.03,1391,"duo-fpp",50,1499,0,0,0,0,0,1031,3,0,61.22,1031,"3-5","Pro"
1,0,19.78,0,0,83,0,0,0,0,1316,"squad-fpp",28,1338,0,0,0,0,0,145.7,2,0,14.81,145.7,"0-2","Noob"
0,0,0,0,0,72,0,0,0,0,1315,"squad-fpp",27,1492,0,0,0,0,0,5.665,1,0,26.92,5.665,"0-2","Noob"
0,0,58.48,0,0,93,0,0,0,0,1351,"squad-fpp",26,1404,0,0,0,0,0,14.61,1,0,0,14.61,"0-2","Noob"
0,2,34.41,0,0,63,1080,0,0,0,1356,"squad-fpp",28,-1,0,0,0,0,0,1483,2,1427,44.44,1483,"0-2","Noob"
1,2,549.4,0,3,1,0,6,1,97.95,1442,"squad-fpp",28,1497,593.7,0,0,0,0,3280,7,0,81.48,3873.7,"6-10","Pro"
0,0,41.16,0,0,44,0,0,0,0,1354,"duo-fpp",46,1490,0,0,0,0,0,890.2,4,0,100,890.2,"3-5","Noob"
0,0,0,0,0,67,0,0,0,0,1469,"solo-fpp",89,1496,0,0,0,0,0,509.2,3,0,32.95,509.2,"3-5","Noob"
0,3,248.6,0,2,28,0,1,1,21.01,1718,"squad-fpp",27,1509,6182,0,0,0,0,1581,8,0,69.23,7763,"6-10","Pro"
0,0,0,0,0,65,0,0,0,0,1839,"squad",28,1470,480.5,0,0,0,0,614.2,4,0,29.63,1094.7,"3-5","Noob"
0,0,0,0,0,61,1023,0,0,0,1368,"solo-fpp",99,-1,0,0,0,0,0,522.8,3,1479,55.1,522.8,"3-5","Noob"
0,0,0,0,0,67,0,0,0,0,1746,"solo-fpp",88,1467,0,0,0,0,0,235.5,3,0,26.44,235.5,"3-5","Noob"
0,0,185.5,0,0,68,0,0,0,0,1964,"duo",49,1525,0,0,0,0,0,1554,4,0,33.33,1554,"3-5","Average"
0,1,171.5,0,2,39,0,1,1,35.19,1428,"solo-fpp",95,1515,0,0,0,0,0,324.1,2,0,41.49,324.1,"0-2","Average"
0,1,259,1,3,14,1434,3,1,18.92,1714,"squad-fpp",29,-1,0,0,0,0,0,307.9,2,1436,25,307.9,"0-2","Pro"
3,6,167.6,0,3,12,0,2,1,174.4,1381,"duo-fpp",48,1473,0,0,0,0,0,2565,4,0,97.87,2565,"3-5","Average"
0,2,244.5,0,1,30,0,1,1,9.213,1878,"duo-fpp",47,1486,0,0,0,0,0,252.5,4,0,23.91,252.5,"3-5","Pro"
0,4,93.49,0,2,16,1064,0,0,0,1888,"duo",20,-1,1257,0,0,0,0,3957,6,1530,78.95,5214,"6-10","Average"
0,2,22.51,0,0,65,0,0,0,0,1290,"squad-fpp",30,1402,0,0,94.31,0,0,1177,4,0,37.93,1271.31,"3-5","Noob"
0,0,100,0,0,46,1068,1,1,6.425,1842,"solo-fpp",94,0,0,0,0,0,0,111.9,1,1470,15.05,111.9,"0-2","Average"
0,0,70.98,0,0,86,0,0,0,0,1408,"duo-fpp",48,1500,0,0,0,0,0,107.1,2,0,10.64,107.1,"0-2","Noob"
0,0,85.5,0,0,75,0,0,0,0,1891,"squad",29,1477,942.1,0,0,0,0,1097,3,0,32.14,2039.1,"3-5","Average"
0,0,79.38,0,0,60,0,0,0,0,1828,"squad-fpp",27,1500,0,0,0,0,0,1175,3,0,38.46,1175,"3-5","Noob"
0,1,115.5,0,1,35,991,0,0,0,1792,"duo-fpp",48,-1,3280,0,0,0,0,1893,5,1490,89.36,5173,"3-5","Average"
0,0,100,0,0,38,1088,1,1,10.26,1407,"squad-fpp",27,-1,0,0,0,0,0,102.9,3,1554,30.77,102.9,"3-5","Average"
0,0,0,0,0,72,1003,0,0,0,1316,"solo-fpp",97,-1,0,0,0,0,0,0.0239,0,1500,29.17,0.0239,"0-2","Noob"
0,0,100,1,0,41,1236,1,1,9.925,1345,"squad",29,-1,0,0,0,0,0,115.5,1,1528,3.57,115.5,"0-2","Average"
0,0,0,0,0,94,1445,0,0,0,1276,"squad",27,-1,0,0,0,0,0,13.01,1,1528,0,13.01,"0-2","Noob"
0,3,0,0,0,33,0,0,0,0,1875,"duo-fpp",48,1511,2824,0,46.55,0,0,3822,5,0,95.74,6692.55,"3-5","Noob"
0,1,100,0,3,32,1056,1,1,94.26,1398,"duo",48,-1,0,0,0,0,0,1259,5,1517,59.57,1259,"3-5","Average"
0,0,193.8,0,0,23,1441,1,1,14.9,1391,"duo",49,-1,0,0,0,0,0,1297,5,1544,97.92,1297,"3-5","Pro"
0,3,171.9,0,9,25,1253,1,1,39.09,2038,"solo-fpp",96,-1,0,0,0,0,0,1699,3,1564,88.42,1699,"3-5","Average"
0,2,66.89,0,1,35,1230,1,1,20.69,1349,"squad-fpp",32,-1,0,0,0,0,0,2569,4,1413,61.29,2569,"3-5","Noob"
0,0,64.8,0,0,55,0,0,0,0,1268,"squad-fpp",26,1478,0,0,0,0,0,180,1,0,76,180,"0-2","Noob"
1,4,406,2,1,3,1282,4,1,80.39,1760,"squad-fpp",27,-1,1599,0,0,0,0,2921,4,1511,80.77,4520,"3-5","Pro"
0,0,160.6,0,0,45,0,1,1,28.75,1326,"duo-fpp",48,1502,0,0,0,0,0,46.96,1,0,10.64,46.96,"0-2","Average"
0,2,0,0,1,50,0,0,0,0,1808,"squad",26,1511,3084,0,0,0,0,1463,7,0,36,4547,"6-10","Noob"
0,0,0,0,0,49,0,0,0,0,1446,"squad-fpp",29,1500,0,0,0,0,0,902.6,5,0,64.29,902.6,"3-5","Noob"
0,0,100,0,0,37,0,1,1,4.916,1983,"duo-fpp",50,1497,0,0,0,0,0,102.5,1,0,2.04,102.5,"0-2","Average"
1,0,76.44,0,0,83,0,0,0,0,1812,"squad-fpp",27,1471,37.48,0,0,0,0,335.5,0,0,15.38,372.98,"0-2","Noob"
0,0,462.9,0,0,5,0,4,2,10.23,1378,"squad-fpp",26,1460,0,0,0,0,0,461.2,2,0,36,461.2,"0-2","Pro"
0,0,95.46,0,0,47,1355,0,0,0,1358,"solo-fpp",97,-1,0,0,0,0,0,1916,6,1578,86.46,1916,"6-10","Average"
0,1,0,0,2,44,1415,0,0,0,1914,"squad-fpp",28,-1,0,0,0,0,0,2768,5,1541,88.89,2768,"3-5","Noob"
0,1,197.5,0,1,56,1000,0,0,0,1403,"solo-fpp",98,-1,0,0,0,0,0,2340,2,1500,81.44,2340,"0-2","Pro"
0,0,37.05,0,0,55,0,0,0,0,1396,"squad",25,1452,0,0,0,0,0,4.319,1,0,54.17,4.319,"0-2","Noob"
0,2,77.74,0,3,48,0,0,0,0,1820,"duo-fpp",47,1581,5754,0,0,0,0,1206,4,0,89.13,6960,"3-5","Noob"
0,2,100,0,0,30,0,1,1,4.977,1262,"squad-fpp",30,1500,683.7,0,15.7,0,0,631.5,7,0,58.62,1330.9,"6-10","Average"
0,1,100,1,0,38,1188,1,1,19.7,1349,"squad-fpp",27,-1,0,0,0,0,0,187.2,3,1480,23.08,187.2,"3-5","Average"
0,0,185.1,0,0,86,1497,0,0,0,1357,"squad",27,-1,0,0,0,0,0,292,3,1538,7.69,292,"3-5","Average"
0,0,0,0,0,80,0,0,0,0,1356,"solo-fpp",93,1493,0,0,0,0,0,48.21,3,0,14.13,48.21,"3-5","Noob"
0,0,62.2,0,0,24,0,1,1,78.54,1265,"squad-fpp",27,1510,0,0,0,0,0,938,3,0,88.46,938,"3-5","Noob"
1,1,61.14,0,7,60,1201,0,0,0,1875,"duo-fpp",46,-1,4219,0,0,0,0,768.9,7,1491,37.78,4987.9,"6-10","Noob"
1,4,100,0,2,52,1318,0,0,0,1879,"squad-fpp",29,-1,662.8,0,10.14,0,0,4441,10,1520,78.57,5113.94,"6-10","Average"
0,0,0,0,0,93,0,0,0,0,1446,"solo-fpp",94,1495,0,0,0,0,0,24.56,0,0,1.07,24.56,"0-2","Noob"
0,0,200,0,0,44,1255,1,1,21.11,1300,"duo-fpp",50,-1,0,0,0,0,0,93.4,2,1527,20.41,93.4,"0-2","Pro"
2,5,177.5,0,1,38,1249,0,0,0,1346,"duo-fpp",50,-1,0,0,0,0,0,3594,4,1558,97.96,3594,"3-5","Average"
0,0,0,0,0,65,0,0,0,0,1403,"squad-fpp",28,1441,0,0,0,0,0,113.2,1,0,33.33,113.2,"0-2","Noob"
0,0,200,1,0,15,1018,2,1,5.509,1467,"solo",98,-1,0,0,0,0,0,1305,4,1495,91.75,1305,"3-5","Pro"
0,4,51.55,0,0,24,1246,1,1,148.8,1824,"duo-fpp",48,-1,0,0,0,0,0,2199,11,1544,97.87,2199,"11-20","Noob"
0,0,626.7,2,0,3,1599,5,2,30.99,1379,"duo-fpp",49,-1,0,0,0,0,0,1333,8,1472,81.25,1333,"6-10","Pro"
0,0,28.38,0,0,89,0,0,0,0,1389,"squad-fpp",28,1506,0,0,0,0,0,254.9,7,0,11.11,254.9,"6-10","Noob"
0,2,186.4,0,0,25,0,1,1,10.17,1384,"solo-fpp",95,1593,0,0,0,0,0,1139,6,0,82.98,1139,"6-10","Average"
0,0,100,0,0,74,0,0,0,0,1409,"squad-fpp",28,1369,0,0,0,0,0,885.9,2,0,33.33,885.9,"0-2","Average"
0,0,0,0,0,96,0,0,0,0,1341,"solo-fpp",97,1517,0,0,0,0,0,7.476,2,0,1.04,7.476,"0-2","Noob"
0,0,200,2,4,18,0,2,1,11.24,1458,"solo-fpp",92,1661,0,0,0,0,0,206.9,2,0,40.66,206.9,"0-2","Pro"
0,0,100,0,0,32,1054,1,1,8.96,1877,"squad",26,-1,0,0,0,0,0,1254,3,1466,12,1254,"3-5","Average"
0,0,0,0,0,93,0,0,0,0,1873,"duo-fpp",49,1428,0,0,0,0,0,54.39,1,0,2.08,54.39,"0-2","Noob"
0,0,0,0,0,72,1189,0,0,0,1326,"duo-fpp",49,-1,0,0,0,0,0,215.3,3,1549,35.42,215.3,"3-5","Noob"
0,0,100,0,0,85,0,0,0,0,1384,"squad-fpp",29,1501,0,0,0,0,0,124.7,1,0,17.86,124.7,"0-2","Average"
0,0,0,0,0,88,0,0,0,0,1898,"duo",46,1500,0,0,0,0,0,66.87,1,0,2.22,66.87,"0-2","Noob"
0,3,184.6,1,6,38,0,1,1,28.45,1397,"solo-fpp",95,1487,0,0,0,0,0,220.4,4,0,50,220.4,"3-5","Average"
0,0,22.05,0,0,66,0,0,0,0,1969,"duo",48,1481,158.6,0,0,0,0,281,3,0,36.17,439.6,"3-5","Noob"
0,0,54.99,0,0,60,0,0,0,0,1438,"solo-fpp",94,1494,778.2,0,0,0,0,564.9,6,0,49.46,1343.1,"6-10","Noob"
0,0,0,0,0,96,0,0,0,0,1806,"squad-fpp",27,1416,0,0,0,0,0,33.11,0,0,0,33.11,"0-2","Noob"
1,0,1047,4,0,15,0,10,1,95.72,892,"normal-solo-fpp",24,1500,0,0,0,0,0,488.3,6,0,56.52,488.3,"6-10","Pro"
0,6,0,0,4,44,1168,0,0,0,1376,"duo-fpp",49,-1,0,0,0,0,0,2837,3,1509,93.75,2837,"3-5","Noob"
0,0,56.76,0,0,79,1000,0,0,0,1982,"duo",48,0,0,0,0,0,0,175.2,2,1500,21.28,175.2,"0-2","Noob"
0,2,44.88,0,2,64,1547,0,0,0,1959,"squad-fpp",27,-1,3795,0,0,0,0,1420,5,1532,38.46,5215,"3-5","Noob"
0,2,42.75,0,3,48,0,0,0,0,1348,"squad-fpp",28,1426,2000,0,0,0,0,1368,3,0,77.78,3368,"3-5","Noob"
0,1,100,1,1,43,1152,1,1,17.25,1376,"solo-fpp",99,-1,0,0,0,0,0,162,4,1459,36.73,162,"3-5","Average"
0,0,0,0,1,72,0,0,0,0,1394,"squad",31,1499,616.9,0,0,0,0,385.6,1,0,26.67,1002.5,"0-2","Noob"
0,0,0,0,0,52,1000,0,0,0,2066,"normal-duo-fpp",31,-1,0,0,0,0,0,365.7,3,1500,13.33,365.7,"3-5","Noob"
0,5,471,1,3,4,0,4,2,81.58,1912,"squad-fpp",26,1483,2105,0,0,0,0,3055,7,0,68,5160,"6-10","Pro"
0,0,100,0,0,66,1265,0,0,0,1475,"squad",29,-1,305.4,0,0,0,0,1302,2,1490,42.86,1607.4,"0-2","Average"
0,0,75,0,0,64,989,0,0,0,1863,"duo",47,-1,0,0,0,0,0,1385,7,1471,36.96,1385,"6-10","Noob"
1,10,426.2,0,3,4,0,4,1,32.29,1460,"squad",28,1497,0,0,59.45,0,0,3474,8,0,92.59,3533.45,"6-10","Pro"
1,1,229.8,0,1,30,1195,1,1,3.245,1834,"solo-fpp",93,-1,2061,0,0,0,0,1523,12,1441,66.3,3584,"11-20","Pro"
0,0,72.24,0,0,61,1080,0,0,0,1394,"squad-fpp",27,-1,0,0,0,0,0,407.3,5,1501,34.62,407.3,"3-5","Noob"
0,0,56.61,0,0,64,1069,0,0,0,1418,"solo-fpp",97,-1,0,0,0,0,0,649.5,5,1500,48.96,649.5,"3-5","Noob"
0,0,160.9,0,1,37,1304,1,1,12.16,1381,"squad-fpp",28,-1,0,0,0,0,0,493.3,2,1530,40.74,493.3,"0-2","Average"
0,2,109.8,0,0,16,0,2,2,125.8,1698,"squad-fpp",27,1527,10940,0,0,0,0,1389,6,0,69.23,12329,"6-10","Average"
1,5,148.5,0,5,20,0,1,1,21.7,1866,"squad",29,1452,2780,0,0,0,0,2730,7,0,82.14,5510,"6-10","Average"
0,3,777.4,0,2,1,1584,7,3,80.48,1351,"squad-fpp",30,-1,0,0,0,0,0,3397,4,1539,96.55,3397,"3-5","Pro"
0,0,35.28,0,0,84,1174,0,0,0,1363,"duo-fpp",49,-1,0,0,0,0,0,65.21,1,1522,16.67,65.21,"0-2","Noob"
0,0,0,0,0,70,1100,0,0,0,1452,"solo-fpp",97,-1,0,0,0,0,0,169.5,4,1464,39.58,169.5,"3-5","Noob"
0,2,283.5,0,2,17,1301,1,1,29.74,1947,"squad-fpp",27,-1,0.0246,0,46.23,0,0,7126,9,1573,92.31,7172.2546,"6-10","Pro"
0,1,109.8,0,2,15,0,2,2,5.621,1861,"duo-fpp",50,1577,0,0,0,0,0,977.1,4,0,53.06,977.1,"3-5","Average"
